B1B032110,模拟电子技术基础(全汉语),,,,,学院路校区,"唐  瑶◇[1周]星期三第1,2节,星期一第1,2节,[2-17周]星期一第1,2节,星期三第1,2节◇(一)202,主M204◇",工程基础类,必修,自动化科学与电气工程学院,4.0,54/100 对外:1/7
B1B032120,数字电子技术基础(全汉语),,,,,学院路校区,"王建华◇[1-17单周]星期一第7,8节,[1-17周]星期三第7,8节◇主M204◇",工程基础类,必修,自动化科学与电气工程学院,3.0,52/100 对外:0/5
B1B033010,微机原理及接口技术(全汉语),,,,,学院路校区,"李  妮◇[1-13周]星期四第3,4节,[1周]星期三第9,10节,[2-13周]星期一第5,6节◇主南210,主南303◇",工程基础类,必修,自动化科学与电气工程学院,3.0,1/95 对外:0/0
B1B033010,微机原理及接口技术(全汉语),,,,,学院路校区,"林  新◇[1-13周]星期四第3,4节,[1-13周]星期一第5,6节◇主南305◇",工程基础类,必修,自动化科学与电气工程学院,3.0,46/95 对外:0/0
B1B033010,微机原理及接口技术(全汉语),,,,,学院路校区,"刘  丽◇[1-13周]星期四第3,4节,[1-13周]星期一第5,6节◇(一)304◇",工程基础类,必修,自动化科学与电气工程学院,3.0,4/110 对外:0/0
B1B033021,电气技术实践（2）（全英文）(全英语),,,,,学院路校区,"黄亚玲◇[1-11周]星期五第11,12节,[1-11周]星期五第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.0,4/25 对外:0/0
B1B033021,电气技术实践（2）（全英文）(全英语),,,,,学院路校区,"黄亚玲◇[1-11周]星期三第11,12节,[1-11周]星期三第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.0,4/25 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[11-16双周]星期四第5,6节,[11-16双周]星期四第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,-1/26 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[11-16双周]星期三第1,2节,[11-16双周]星期三第3,4节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,0/31 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[11-16双周]星期三第5,6节,[11-16双周]星期三第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,0/24 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[11-16双周]星期二第5,6节,[11-16双周]星期二第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,0/26 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[13-18单周]星期四第11,12节,[13-18单周]星期四第9,10节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,4/35 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[13-18单周]星期三第1,2节,[13-18单周]星期三第3,4节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,0/29 对外:0/0
B1B033070,微机原理,,,,,学院路校区,"刘亚斌◇[1-17周]星期一第7,8节◇主235◇*李  可◇[13-18单周]星期三第5,6节,[13-18单周]星期三第7,8节◇◇",工程基础类,必修,自动化科学与电气工程学院,2.5,-1/24 对外:0/0
